Poodles are so beautiful! I love that breed as well,0.032627538
I love border collies. I've heard they are good at working and herding.,0.051068526
It's crazy how smart they are!,0.1587729
These trials take place all over the world like in the USA, Canada, and the UK.,0.009675868
well they have super long hair and shed like crazy, there's a lot of other intelligent dogs out there too,0.37751234
Interesting, I didn't know that,0.019100413
Border Collie,0.025320992
You should definitely consider it.  They are good with kids, but keep in mind, they typically have a thick coat that sheds frequently.,0.051068526
Holy cow yes! I swear everytime you pet him you could make a coat out of the fur that falls off its kind of ridiculous, its not to bad this time of year once it starts to get cold again, but its really bad at the end of winter.,0.37751234
Oh really? I love how beautiful they look.,0.034041706
That's good since I have little ones!  Isn't that the breed of dog on the show "Lassie"?,0.067380086
Oh that is nice, i never heard of it before.,0.018974753
border collies are nice.  how old is yours?,0.056016337
Black and white coats are the most common colors in collies, but it can appear in almost any color seen in dogs.,0.019854378
Now I want to start working with my mother's border collie. Are they hard to train?,0.10783285
I love that name! We do not have one, but defiantly would consider it. Are they good with kids?,0.030388435
For a medium size dog, their coat sure does shed a lot !,0.11336674
Border collies are such awesome dogs.,0.0438942
I like dogs,0.049336795
That is good to know, especially since I do have allergies.,0.028385026
I think so, they are also amazing at dog sports, and sheepdog trials because of that intelligence.,0.11140333
I've heard they generally have a variety of coats. Most common are black, tan, and white. What color was yours?,0.032863233
They were developed originally in the Anglo-Scottish border region for herding livestock.,0.030859824
Both a plus and a minus -- sometimes they want to herd things that don't *want* to be herded! But they are sweethearts, for sure.,0.048099842
They are actually very good with kids!,0.029327808
Yes, I have. They're very energetic and intelligent dogs.,0.04240986
Have you ever seen a border collie? It is a herding dog that was bred in the Anglo-Scottish border region for herding livestock.,0.043646812
Many people say they are the smartest of all domestic dogs!,0.25462922
Border Collies really are fantastic. They are herding and working dogs.,0.069754265
Well since they are most often cited as one of the most intelligent of all domestic dogs, Id say yes. If they are raised right.,0.147767
They are known for the intelligence and obedience.,0.055521555
I really wish that I could own pets but I have severe allergies.  Do you have pets?,0.036634352
They are ! I wonder if they are good with kids,0.0438942
how interesting! I would've never guessed,0.02048268
I never heard of that, honestly.,0.015958898
what types of herding do they do?,0.0466155
Interesting!  I never knew that!  Is one better than the other?,0.016838523
Border Collie is such a cute breed,0.045378547
It's so cool to learn new things about my fur baby. I knew she was smart but did not know how smart.,0.05799546
They are also often cited as the most intelligent breed of all domestic dog breeds, which is crazy because I had a toy poodle and I though they were the smartest breed!,0.10002319
Yes, I agree. They are beautiful too. What is your dogs name?,0.032156147
I'm a dog lover, I just love all dogs!,0.040430736
border collies are very athletic and extremely energetic makes them good herding dogs,0.08874765
What else do you know about them? I enjoy watching them do the obstacle courses.,0.049831573
My Border collie is a medium sized dog with a real thick coat of fur which helps during seasonal weather,0.026617315
I see! Though mine are sometimes disobedient!,0.049584184
oh they are great.  The dogs work sheep on a range of hilly unfenced land.  You should check it out.,0.16765249
They are mostly known for herding livestock.,0.040183347
I hope to have one as a pet someday.,0.059479803
I like collies, true I don't have any livestock haha. Collies have a thick coat and it sheds often, and they are about medium sized. I don't want a really big dog.,0.04067813
