it is really quite good though not spectacularly so .,0.03109552
all of the wait staff was top notch .,0.21374844
definitely worth the exploration and a return visit .,0.012126249
minus five if allowed .,0.021432023
hm ... am i missing something here ?,0.017592486
they said this would all coast about $ 000.00 .,0.008356431
this is the case with mickey ' s dogs .,0.049336795
you cant go wrong with <UNK> .,0.034277402
border grill gets them right .,0.09611836
u got ta try it .,0.02402467
i had the surf and turf .,0.030859824
hands down one of the best spots in town !,0.012063419
service was quick and efficient .,0.010806813
we had two full <UNK> boxes .,0.034041706
it just was calling out to me .,0.022021262
the environment is friendly and easy on the eyes .,0.026263772
nobody else forgets part of the order ever .,0.017718147
friendly , professional and caring staff .,0.009298885
foodie need not apply .,0.032863233
fair is stretching it .,0.023317585
buffet tables look nice and food is appealing .,0.01822079
coming by metro is long and <UNK> .,0.020842785
good value for the money .,0.011435116
the doors <UNK> the lake are all broken .,0.034513097
it was more convenient then a necessity .,0.010429831
arizona mule , atmosphere , <UNK> .,0.045625936
two were great , but the cubano ?,0.15766735
they have a mechanical bull ride that is free .,0.03639866
but i still had my french speakers to help .,0.01834645
oxtail pho <UNK> service very attentive .,0.017466826
oh just 0 tiny reasons .,0.043399423
under new ownership is a great improvement .,0.01225191
also the wings are good for late night .,0.019603057
this yard house vibe was excellent .,0.02402467
pulled pork sandwich was dry .,0.077668175
lower cost of operation means lower food price .,0.008796243
some sort of computer glitch .,0.037577134
this place was awesome .,0.019226074
this place was awesome .,0.019226074
won ton min was okay .,0.0414203
the concept is pretty cool actually .,0.017466826
great experience with each staff member i interacted with .,0.011435116
these folks really understand .,0.02920996
the best sandwich on campus .,0.018095128
good bloody mary ' s .,0.30527395
overall , i am satisfied with this experience .,0.018095128
nevertheless , produce still cheaper than standard supermarket chains .,0.007853788
the gyros combo meal is a good deal .,0.038991302
it was sunday so football was about to start .,0.011435116
the wings and sandwich were pretty good .,0.021314176
also , the towering sashimi poki is <UNK> .,0.05280026
one the places i enjoy going in town .,0.016021729
the sandwich selection is excellent .,0.019477395
ny steak for $ 00 ?,0.01646154
go with standard <UNK> .,0.01822079
it was a little bit disappointing .,0.079250954
the staff was tremendous .,0.01847211
great place for breakfast .,0.014576632
the ribs are the special on <UNK> .,0.06817148
it was my return trip that was a mess .,0.103060275
we went there on a sunday night .,0.018974753
they all had the same strategy .,0.01834645
we started by splitting a garlic mussel appetizer .,0.025910228
how is this business even running ?,0.025674535
did n't find any around gate d .,0.017341165
a large variety of donuts .,0.032391842
trust me , these guys know about being hungry .,0.11181668
the caniac is where its at .,0.30854854
thanks for your great service .,0.014073989
yes it was another glorious night in sin city .,0.104361884
some areas of the hotel are still well worn .,0.01834645
go on out and enjoy the show .,0.09655223
production values and the theater are the best .,0.013005874
that ' s $ 000 / hr .,0.012691722
i say give ' em a shot .,0.44393396
as most folks do , i enjoy their coffee .,0.01646154
loved the food at this place .,0.015519086
food was over done imo .,0.023199737
prices here are high .,0.013445686
nothing to complain about .,0.027442247
will be visiting this place again .,0.019854378
our party of 0 enjoyed a great lunch .,0.03969839
wednesday special awsome fried chicken w / 0 sides .,0.023671126
they started building this just as the recession started .,0.014953613
not a fan but a necessary evil .,0.3281604
diners drive ins and dives material !,0.049831573
good news ... bad news !,0.034277402
he really cares about total satisfaction .,0.050078966
the staff is fine .,0.015833238
the new space seems bigger and better .,0.020231359
would highly recommend to anyone .,0.01646154
i ' ll be back here often .,0.02072494
or a <UNK> sushi place .,0.017718147
kinda small ... but great .,0.034748793
gratuity should only be charged with 0 or more .,0.016587202
just go to brooklyn boys !,0.032863233
my advice is avoid this place if you can .,0.054531995
fast friendly service is always a plus .,0.013822667
hardworking , and willing to be of help .,0.011937759
this hotel and casino is a piece of shit .,0.91625386
