You should go kill yourself.,0.8988238
Shut the fuck up already.,0.9391453
What the absolute fuck is wrong with you.,0.91625386
I don't give a fuck about what you say.,0.8403191
You’re acting like a dumbass.,0.88599813
Are you seriously this retarded?,0.78711975
Go die in a fire, nobody would miss you.,0.7701451
You're such a fat piece of shit.,0.9749944
Go to hell and don’t come back,0.7675452
Slit your wrists already, no one cares.,0.72028047
I can’t believe how stupid you are, for fucks sake.,0.96069145
You make me want to kill my self just talking to you.,0.65996873
Get a life, loser.,0.78711975
Fuck outta here with that stupid shit.,0.9817629
Get the fuck out and never come back.,0.9209984
I hope you choke, for real.,0.62702215
Your existence is a loss.,0.5716857
This is why nobody fucks with you.,0.9061063
You're such a sheep, it's painful.,0.5559701
