I love your work, please keep it up!,0.013320025
I l*ve your work, please keep it up!,0.01822079
I l**e your work, please keep it up!,0.40614098
I l*** your work, please keep it up!,0.4402136
I **** your work, please keep it up!,0.37751234
I love Wikipedia,0.01847211
I l*ve Wikipedia,0.022964042
I l**e Wikipedia,0.6308517
I l*** Wikipedia,0.55739564
I **** Wikipedia,0.4574824
I`d love to go out with you, but my favorite commercial is on TV.,0.09741997
I`d **** to go out with you, but my favorite commercial is on TV.,0.3308965
I`d **** to go out with you, but my favorite ********** is on TV.,0.30993456
If you have any questions, feel free to ask me at my talk page — I'm happy to help.,0.012126249
If you have any questions, feel free to ask me at my talk page — I'm ***** to help.,0.23812068
If you have any questions, feel **** to ask me at my talk page — I'm ***** to help.,0.25462922
Good luck, and have fun.,0.022139108
Good luck, and have ***.,0.3389984
Good ****, and have ***.,0.25462922
The idea about an article is a good one, but unfortunately you've started out with an error.,0.059232414
The idea about an article is a **** one, but unfortunately you've started out with an error.,0.37751234
The idea about an article is a **** one, but unfortunately you've started out with an *****.,0.44393396
You did a nice job cleaning up some spammy content.,0.103928015
You did a **** job cleaning up some spammy content.,0.45090583
You did a **** job cleaning up some ****** content.,0.4014846
I <3 the way u always show up 4 ur friends!,0.024731753
Thanks 4 being so kind.,0.013822667
T@lking 2 you always m@kes my mood better.,0.054037213
W@y 2 go, your hard work is paying 0ff.,0.18364124
You really sl@yed that presentation.,0.48141238
T@ke a deep breath & rememb3r you got this,0.11223003
Can’t wait 2 hang with you again, miss you!,0.13908891
Honestly, your p0sitivity is kind@ contagious.,0.1537979
Hope u h@ve a peaceful, chill d@y 2day,0.055026773
You’re gr8 at what you do, keep it up!,0.014450971
That was amazin, legit had me smiling.,0.028620722
That message really m@de my day.,0.03309893
H@ppiness looks good on you.,0.34328604
Y@y! So proud of you right now!!,0.01608456
Stay str0ng, you’ve g0t this.,0.14256015
